扫描单,条码,时间
发货-17021001,3323028350342,2017-02-10 10:32:07
发货-17021001,3323028273169,2017-02-10 10:32:11
发货-17021001,3323028311493,2017-02-10 10:32:16
发货-17021001,3323027987801,2017-02-10 10:32:30
发货-17021001,3323028100459,2017-02-10 10:32:34
发货-17021001,3323028177315,2017-02-10 10:32:38
发货-17021001,3323028066626,2017-02-10 10:32:45
发货-17021001,3323027987217,2017-02-10 10:32:51
发货-17021001,3323028310724,2017-02-10 10:32:55
发货-17021001,3323028310554,2017-02-10 10:33:00
发货-17021001,3323028025511,2017-02-10 10:33:05
发货-17021001,3323028176917,2017-02-10 10:33:10
发货-17021001,3323028272231,2017-02-10 10:33:15
发货-17021001,3323028176863,2017-02-10 10:33:19
发货-17021001,3323028025225,2017-02-10 10:33:26
发货-17021001,3323028140089,2017-02-10 10:33:29
发货-17021001,3323028099162,2017-02-10 10:33:33
发货-17021001,3323027986285,2017-02-10 10:33:36
发货-17021001,3323028176530,2017-02-10 10:33:40
发货-17021001,3323028271547,2017-02-10 10:33:44
发货-17021001,3323028024268,2017-02-10 10:33:47
发货-17021001,3323028199135,2017-02-10 10:33:51
发货-17021001,3323028176152,2017-02-10 10:33:55
发货-17021001,3323028139230,2017-02-10 10:33:58
发货-17021001,3323028238919,2017-02-10 10:34:05
发货-17021001,3323028817193,2017-02-10 10:39:13
发货-17021001,427076008963,2017-02-10 10:41:54
发货-17021001,427075758729,2017-02-10 10:41:59
发货-17021001,427076047482,2017-02-10 10:42:05
发货-17021001,427075826605,2017-02-10 10:42:08
发货-17021001,427076047583,2017-02-10 10:42:12
发货-17021001,427075976114,2017-02-10 10:42:15
发货-17021001,427075639137,2017-02-10 10:42:19
发货-17021001,427075827016,2017-02-10 10:42:24
发货-17021001,427075759698,2017-02-10 10:42:26
发货-17021001,427076048341,2017-02-10 10:42:30
发货-17021001,427075863259,2017-02-10 10:42:32
发货-17021001,427075799214,2017-02-10 10:42:35
发货-17021001,427075942052,2017-02-10 10:42:45
发货-17021001,427076160171,2017-02-10 10:42:47
发货-17021001,427076010446,2017-02-10 10:42:50
发货-17021001,427076123055,2017-02-10 10:42:53
发货-17021001,427076049751,2017-02-10 10:43:00
发货-17021001,427076646616,2017-02-10 10:44:45
发货-17021001,427076940738,2017-02-10 10:47:26
发货-17021001,427077162246,2017-02-10 10:47:30
发货-17021001,427077046244,2017-02-10 10:47:34
发货-17021001,427077046662,2017-02-10 10:47:39
发货-17021001,427076828280,2017-02-10 10:47:44
发货-17021001,427077163776,2017-02-10 10:47:50
发货-17021001,427076904869,2017-02-10 10:47:53
发货-17021001,427077202911,2017-02-10 10:47:56
发货-17021001,427077069839,2017-02-10 10:49:35
发货-17021001,400039685976,2017-02-10 13:45:15
发货-17021001,3323054852582,2017-02-10 16:22:50
发货-17021001,3323054929704,2017-02-10 16:22:53
发货-17021001,3323055034166,2017-02-10 16:22:57
发货-17021001,3323055034191,2017-02-10 16:23:04
发货-17021001,3323054737122,2017-02-10 16:23:07
发货-17021001,3323055073751,2017-02-10 16:23:11
发货-17021001,427121401892,2017-02-10 16:26:00
发货-17021001,427121100258,2017-02-10 16:26:05
发货-17021001,427121401947,2017-02-10 16:26:08
发货-17021001,427121366036,2017-02-10 16:26:12
发货-17021001,427121025994,2017-02-10 16:26:15
发货-17021001,427121212874,2017-02-10 16:26:18
发货-17021001,427121294303,2017-02-10 16:26:21
发货-17021001,3323063154144,2017-02-10 17:47:52
发货-17021001,3323062926853,2017-02-10 17:47:55
发货-17021001,3323063042700,2017-02-10 17:47:58
发货-17021001,3323062826089,2017-02-10 17:48:01
发货-17021001,3323062892814,2017-02-10 17:48:04
发货-17021001,3323063118329,2017-02-10 17:48:07
发货-17021001,3323062862130,2017-02-10 17:48:10
发货-17021001,3323062862189,2017-02-10 17:48:13
发货-17021001,427135885331,2017-02-10 17:54:09
发货-17021001,427135557350,2017-02-10 17:54:12
发货-17021001,427135751731,2017-02-10 17:54:15
发货-17021001,427136082800,2017-02-10 17:54:17
发货-17021001,427135787887,2017-02-10 17:54:21
发货-17021001,427135891083,2017-02-10 17:54:24
发货-17021001,427136083058,2017-02-10 17:54:27
发货-17021001,3323063870213,2017-02-10 18:05:12
发货-17021001,3323063620150,2017-02-10 18:05:15
发货-17021001,3323063579117,2017-02-10 18:05:22
发货-17021001,3323063801146,2017-02-10 18:05:29
