扫描单,条码,时间
发货-17021001,400039685808,2017-02-10 16:03:07
发货-17021001,400039685809,2017-02-10 16:03:23
发货-17021001,400039685810,2017-02-10 16:03:48
发货-17021001,3323053374150,2017-02-10 16:04:11
发货-17021001,3323053633804,2017-02-10 16:04:18
发货-17021001,3323053410151,2017-02-10 16:04:21
发货-17021001,3323053260455,2017-02-10 16:04:24
发货-17021001,3323053260546,2017-02-10 16:04:26
发货-17021001,3323053489467,2017-02-10 16:04:29
发货-17021001,3323052954883,2017-02-10 16:04:36
发货-17021001,3323052993665,2017-02-10 16:04:38
发货-17021001,3323052993677,2017-02-10 16:04:41
发货-17021001,3323052734725,2017-02-10 16:04:44
发货-17021001,3323052993744,2017-02-10 16:04:46
发货-17021001,3323052699784,2017-02-10 16:04:49
发货-17021001,3323052917935,2017-02-10 16:04:51
发货-17021001,3323052878771,2017-02-10 16:04:54
发货-17021001,3323052767383,2017-02-10 16:04:56
发货-17021001,3323053072095,2017-02-10 16:04:59
发货-17021001,3323052804676,2017-02-10 16:05:01
发货-17021001,3323052700231,2017-02-10 16:05:04
发货-17021001,3323052918291,2017-02-10 16:05:06
发货-17021001,3323052768035,2017-02-10 16:05:08
发货-17021001,3323053034665,2017-02-10 16:05:11
发货-17021001,3323053034859,2017-02-10 16:05:13
发货-17021001,3323053073155,2017-02-10 16:05:16
发货-17021001,3323053035166,2017-02-10 16:05:18
发货-17021001,3323052736135,2017-02-10 16:05:21
发货-17021001,3323052664022,2017-02-10 16:05:23
发货-17021001,3323052664204,2017-02-10 16:05:26
发货-17021001,3323052769205,2017-02-10 16:05:28
发货-17021001,3323052769217,2017-02-10 16:05:31
发货-17021001,3323053035671,2017-02-10 16:05:33
发货-17021001,3323052845275,2017-02-10 16:05:39
发货-17021001,3323052880734,2017-02-10 16:05:42
发货-17021001,3323052845469,2017-02-10 16:05:48
发货-17021001,3323052919818,2017-02-10 16:05:57
发货-17021001,3323052736998,2017-02-10 16:06:06
发货-17021001,3323052769527,2017-02-10 16:06:09
发货-17021001,3323052881041,2017-02-10 16:06:12
发货-17021001,3323052770005,2017-02-10 16:06:15
发货-17021001,3323053074525,2017-02-10 16:06:18
发货-17021001,3323052881435,2017-02-10 16:06:24
发货-17021001,3323052770133,2017-02-10 16:06:31
发货-17021001,3323052957455,2017-02-10 16:06:37
发货-17021001,3323052997092,2017-02-10 16:06:40
发货-17021001,427119172444,2017-02-10 16:06:53
发货-17021001,427119092905,2017-02-10 16:06:56
发货-17021001,427118232096,2017-02-10 16:06:58
发货-17021001,427118232113,2017-02-10 16:07:01
发货-17021001,427118421826,2017-02-10 16:07:04
发货-17021001,427118346265,2017-02-10 16:07:06
发货-17021001,427118500183,2017-02-10 16:07:10
发货-17021001,427118307126,2017-02-10 16:07:13
发货-17021001,427118464732,2017-02-10 16:07:16
发货-17021001,427118563427,2017-02-10 16:07:19
发货-17021001,427118464973,2017-02-10 16:07:21
发货-17021001,427118501407,2017-02-10 16:07:25
发货-17021001,427118465530,2017-02-10 16:07:28
发货-17021001,427118348148,2017-02-10 16:07:31
发货-17021001,427118466199,2017-02-10 16:07:34
发货-17021001,427118386155,2017-02-10 16:07:37
发货-17021001,427118348681,2017-02-10 16:07:40
发货-17021001,427118157968,2017-02-10 16:07:43
发货-17021001,427118565255,2017-02-10 16:07:45
发货-17021001,427118349471,2017-02-10 16:07:48
发货-17021001,400039685803,2017-02-10 16:08:07
发货-17021001,400039685804,2017-02-10 16:08:10
发货-17021001,400039685805,2017-02-10 16:08:13
发货-17021001,400039685806,2017-02-10 16:08:16
发货-17021001,3323064414978,2017-02-10 18:27:19
发货-17021001,3323064636575,2017-02-10 18:27:23
发货-17021001,3323064520718,2017-02-10 18:27:26
发货-17021001,3323064410348,2017-02-10 18:27:28
发货-17021001,3323064630669,2017-02-10 18:27:38
发货-17021001,3323064594667,2017-02-10 18:27:41
发货-17021001,3323064630761,2017-02-10 18:27:44
发货-17021001,3323064268855,2017-02-10 18:27:51
发货-17021001,3323064335722,2017-02-10 18:27:54
发货-17021001,3323064486387,2017-02-10 18:28:00
