扫描单,条码,时间
发货-17021501,780013600739,2017-02-15 12:33:48
发货-17021501,780013600738,2017-02-15 12:33:51
发货-17021501,400039685754,2017-02-15 12:33:57
发货-17021501,427604686939,2017-02-15 12:39:56
发货-17021501,427604726361,2017-02-15 12:40:00
发货-17021501,427604611110,2017-02-15 12:40:03
发货-17021501,427604319687,2017-02-15 12:40:05
发货-17021501,427603897458,2017-02-15 13:57:33
发货-17021501,427603858301,2017-02-15 13:57:36
发货-17021501,427603819164,2017-02-15 13:57:39
发货-17021501,427603632389,2017-02-15 13:57:41
发货-17021501,427603595921,2017-02-15 13:57:44
发货-17021501,427603596015,2017-02-15 13:57:47
发货-17021501,427603632616,2017-02-15 13:57:50
发货-17021501,427603897805,2017-02-15 14:02:43
发货-17021501,427603897844,2017-02-15 14:02:46
发货-17021501,427603968829,2017-02-15 14:02:49
发货-17021501,427603596883,2017-02-15 14:02:52
发货-17021501,427603859276,2017-02-15 14:02:54
发货-17021501,427603859446,2017-02-15 14:02:57
发货-17021501,427603820181,2017-02-15 14:03:00
发货-17021501,427603671179,2017-02-15 14:07:37
发货-17021501,427603633920,2017-02-15 14:07:40
发货-17021501,427603969646,2017-02-15 14:07:43
发货-17021501,427603633951,2017-02-15 14:07:45
发货-17021501,427603746396,2017-02-15 14:07:48
发货-17021501,427603969874,2017-02-15 14:07:51
发货-17021501,3323318958749,2017-02-15 14:18:08
发货-17021501,3323318778393,2017-02-15 14:18:11
发货-17021501,3323318958129,2017-02-15 14:18:14
发货-17021501,3323318996848,2017-02-15 14:18:16
发货-17021501,3323319110312,2017-02-15 14:18:19
发货-17021501,3323319036650,2017-02-15 14:18:22
发货-17021501,3323318813717,2017-02-15 14:18:24
发货-17021501,3323319072062,2017-02-15 14:23:47
发货-17021501,3323319036661,2017-02-15 14:23:49
发货-17021501,3323319071615,2017-02-15 14:23:54
发货-17021501,3323318958312,2017-02-15 14:27:14
发货-17021501,3323319037198,2017-02-15 14:27:16
发货-17021501,3323318814875,2017-02-15 14:27:19
发货-17021501,3323318709125,2017-02-15 14:33:31
发货-17021501,3323318851798,2017-02-15 14:33:39
发货-17021501,3323319037204,2017-02-15 14:33:44
发货-17021501,3323319072074,2017-02-15 14:33:56
发货-17021501,3323318850884,2017-02-15 14:33:59
发货-17021501,3323318850938,2017-02-15 14:34:02
发货-17021501,3323318957847,2017-02-15 14:34:06
发货-17021501,3323318927708,2017-02-15 14:34:09
发货-17021501,427640528327,2017-02-15 16:20:53
发货-17021501,427640456956,2017-02-15 16:20:56
发货-17021501,427640604093,2017-02-15 16:20:58
发货-17021501,427640681912,2017-02-15 16:21:01
发货-17021501,427640720252,2017-02-15 16:21:04
发货-17021501,427640641796,2017-02-15 16:21:06
发货-17021501,427640456343,2017-02-15 16:21:09
发货-17021501,427640279638,2017-02-15 16:21:11
发货-17021501,427640395092,2017-02-15 16:21:14
发货-17021501,427640564917,2017-02-15 16:21:18
发货-17021501,427640567062,2017-02-15 16:32:11
发货-17021501,427640643890,2017-02-15 16:32:14
发货-17021501,427640761134,2017-02-15 16:32:17
发货-17021501,427640437134,2017-02-15 16:32:19
发货-17021501,427640490221,2017-02-15 16:32:22
发货-17021501,427640490037,2017-02-15 16:32:24
发货-17021501,427640720706,2017-02-15 16:32:27
发货-17021501,427640760116,2017-02-15 16:32:30
发货-17021501,427640720562,2017-02-15 16:32:32
发货-17021501,427640489539,2017-02-15 16:32:35
发货-17021501,3323347411647,2017-02-15 18:17:09
发货-17021501,3323347449502,2017-02-15 18:17:12
发货-17021501,3323347298837,2017-02-15 18:17:15
发货-17021501,3323347489181,2017-02-15 18:17:17
发货-17021501,3323347375918,2017-02-15 18:17:20
发货-17021501,3323347557715,2017-02-15 18:17:23
发货-17021501,3323347259325,2017-02-15 18:17:29
发货-17021501,3323347225440,2017-02-15 18:17:32
发货-17021501,3323347449635,2017-02-15 18:17:35
发货-17021501,3323347379450,2017-02-15 18:17:38
发货-17021501,427656475005,2017-02-15 19:06:37
发货-17021501,427656475020,2017-02-15 19:06:40
发货-17021501,427656548199,2017-02-15 19:06:43
发货-17021501,427656437315,2017-02-15 19:06:45
发货-17021501,427656033120,2017-02-15 19:06:48
发货-17021501,427655996095,2017-02-15 19:06:51
发货-17021501,427656361482,2017-02-15 19:06:54
发货-17021501,427656324201,2017-02-15 19:06:57
发货-17021501,427655996246,2017-02-15 19:06:59
发货-17021501,427656181831,2017-02-15 19:07:02
发货-17021501,427656324954,2017-02-15 19:07:05
发货-17021501,780013600735,2017-02-15 19:32:28
发货-17021501,3323350206355,2017-02-15 19:34:36
发货-17021501,3323350324424,2017-02-15 19:34:39
发货-17021501,3323350014708,2017-02-15 19:34:42
发货-17021501,780013600736,2017-02-15 20:07:07
发货-17021501,780013600737,2017-02-15 20:07:13
