扫描单,条码,时间
发货-17020801,3322916187892,2017-02-08 13:45:59
发货-17020801,3322916523632,2017-02-08 13:46:03
发货-17020801,3322916485217,2017-02-08 13:46:06
发货-17020801,3322916590189,2017-02-08 13:46:10
发货-17020801,3322916447325,2017-02-08 13:46:17
发货-17020801,3322916367884,2017-02-08 13:46:24
发货-17020801,3322916551899,2017-02-08 13:46:31
发货-17020801,3322916551905,2017-02-08 13:46:36
发货-17020801,3322916330901,2017-02-08 13:46:40
发货-17020801,3322916228721,2017-02-08 13:46:44
发货-17020801,3322916590705,2017-02-08 13:46:47
发货-17020801,3322916485461,2017-02-08 13:46:51
发货-17020801,3322916296752,2017-02-08 13:46:56
发货-17020801,3322916411111,2017-02-08 13:47:00
发货-17020801,3322916524479,2017-02-08 13:47:05
发货-17020801,3322916368275,2017-02-08 13:47:09
发货-17020801,3322916296983,2017-02-08 13:47:13
发货-17020801,3322916188708,2017-02-08 13:47:18
发货-17020801,3322916188733,2017-02-08 13:47:23
发货-17020801,3322935963592,2017-02-08 16:21:07
发货-17020801,3322935864678,2017-02-08 16:21:15
发货-17020801,3322936167543,2017-02-08 16:21:19
发货-17020801,3322935813117,2017-02-08 16:21:24
发货-17020801,3322935699351,2017-02-08 16:21:28
发货-17020801,3322935508995,2017-02-08 16:21:31
发货-17020801,3322935557323,2017-02-08 16:21:35
发货-17020801,3322935482758,2017-02-08 16:21:39
发货-17020801,3322935595604,2017-02-08 16:21:42
发货-17020801,3322935404653,2017-02-08 16:21:46
发货-17020801,3322935634465,2017-02-08 16:21:49
发货-17020801,3322935483095,2017-02-08 16:21:52
发货-17020801,3322935483119,2017-02-08 16:21:55
发货-17020801,3322935332995,2017-02-08 16:21:58
发货-17020801,3322935521704,2017-02-08 16:22:01
发货-17020801,3322935634726,2017-02-08 16:22:04
发货-17020801,3322935333429,2017-02-08 16:22:08
发货-17020801,3322935298123,2017-02-08 16:22:11
发货-17020801,3322935298147,2017-02-08 16:22:14
发货-17020801,3322935333478,2017-02-08 16:22:18
发货-17020801,3322935298184,2017-02-08 16:22:22
发货-17020801,3322935484162,2017-02-08 16:22:25
发货-17020801,3322935264229,2017-02-08 16:22:28
发货-17020801,3322935635641,2017-02-08 16:22:32
发货-17020801,3322935635800,2017-02-08 16:22:35
发货-17020801,3322935484459,2017-02-08 16:22:39
发货-17020801,3322935406032,2017-02-08 16:22:42
发货-17020801,3322935523004,2017-02-08 16:22:46
发货-17020801,3322935406226,2017-02-08 16:22:49
发货-17020801,3322935446786,2017-02-08 16:22:52
发货-17020801,3322935446804,2017-02-08 16:22:56
发货-17020801,3322935334812,2017-02-08 16:22:59
发货-17020801,3322935447238,2017-02-08 16:23:02
