扫描单,条码,时间
发货-17020901,400039685807,2017-02-09 16:22:40
发货-17020901,400039685800,2017-02-09 16:22:47
发货-17020901,400039685799,2017-02-09 16:22:51
发货-17020901,426707979666,2017-02-09 16:22:58
发货-17020901,400039685796,2017-02-09 16:23:01
发货-17020901,400039685797,2017-02-09 16:23:08
发货-17020901,400039685745,2017-02-09 16:23:14
发货-17020901,400039685744,2017-02-09 16:23:18
发货-17020901,427022941699,2017-02-09 16:55:24
发货-17020901,957677858837,2017-02-09 16:55:30
发货-17020901,400039685747,2017-02-09 16:56:19
发货-17020901,400039685746,2017-02-09 16:56:26
发货-17020901,427023571473,2017-02-09 16:56:36
发货-17020901,427023463036,2017-02-09 16:56:39
发货-17020901,427023463048,2017-02-09 16:56:41
发货-17020901,427023427457,2017-02-09 16:56:45
发货-17020901,427021719123,2017-02-09 16:56:48
发货-17020901,427022058609,2017-02-09 16:56:51
发货-17020901,427022058889,2017-02-09 16:56:55
发货-17020901,427021981479,2017-02-09 16:56:58
发货-17020901,427022089254,2017-02-09 16:57:00
发货-17020901,427021837059,2017-02-09 16:57:03
发货-17020901,427021796767,2017-02-09 16:57:06
发货-17020901,427021948605,2017-02-09 16:57:08
发货-17020901,427022200246,2017-02-09 16:57:11
发货-17020901,427021948784,2017-02-09 16:57:14
发货-17020901,427021982972,2017-02-09 16:57:17
发货-17020901,427021797564,2017-02-09 16:57:19
发货-17020901,427021910168,2017-02-09 16:57:22
发货-17020901,427022020464,2017-02-09 16:57:24
发货-17020901,427022060409,2017-02-09 16:57:27
发货-17020901,427021798126,2017-02-09 16:57:30
发货-17020901,427022129337,2017-02-09 16:57:32
发货-17020901,427021910919,2017-02-09 16:57:35
发货-17020901,427021950708,2017-02-09 16:57:38
发货-17020901,427021950887,2017-02-09 16:57:40
发货-17020901,427022162703,2017-02-09 16:57:43
发货-17020901,427021799252,2017-02-09 16:57:45
发货-17020901,427021799277,2017-02-09 16:57:48
发货-17020901,427021911661,2017-02-09 16:57:50
发货-17020901,3323000980614,2017-02-09 16:58:01
发货-17020901,3323001006687,2017-02-09 16:58:04
发货-17020901,3322999242620,2017-02-09 16:58:07
发货-17020901,3322999060779,2017-02-09 16:58:09
发货-17020901,3322998982868,2017-02-09 16:58:13
发货-17020901,3322999203125,2017-02-09 16:58:17
发货-17020901,3322999127920,2017-02-09 16:58:19
发货-17020901,3322999243028,2017-02-09 16:58:22
发货-17020901,3322999087785,2017-02-09 16:58:24
发货-17020901,3322999022061,2017-02-09 16:58:27
发货-17020901,3322999243200,2017-02-09 16:58:30
发货-17020901,3322999357597,2017-02-09 16:58:32
发货-17020901,3322999164155,2017-02-09 16:58:37
发货-17020901,3322998983436,2017-02-09 16:58:39
发货-17020901,3322999319395,2017-02-09 16:58:46
发货-17020901,3322999392503,2017-02-09 16:58:54
发货-17020901,3322999088444,2017-02-09 16:58:57
发货-17020901,3322999358219,2017-02-09 16:59:00
发货-17020901,3322999319826,2017-02-09 16:59:02
发货-17020901,3322999204416,2017-02-09 16:59:05
发货-17020901,3322999062419,2017-02-09 16:59:08
发货-17020901,3322998984077,2017-02-09 16:59:11
发货-17020901,3322999089322,2017-02-09 16:59:13
发货-17020901,3322999244307,2017-02-09 16:59:16
发货-17020901,3322999280638,2017-02-09 16:59:19
发货-17020901,3322999089838,2017-02-09 16:59:22
发货-17020901,3322998984521,2017-02-09 16:59:25
发货-17020901,3322999165732,2017-02-09 16:59:45
发货-17020901,3322999320675,2017-02-09 16:59:49
发货-17020901,3322999023698,2017-02-09 16:59:52
发货-17020901,3322999165800,2017-02-09 16:59:55
发货-17020901,3322999165823,2017-02-09 16:59:58
发货-17020901,3322999244812,2017-02-09 17:00:01
发货-17020901,3322999130717,2017-02-09 17:00:04
发货-17020901,3322999063607,2017-02-09 17:00:16
发货-17020901,3322999321073,2017-02-09 17:00:19
发货-17020901,3322999359905,2017-02-09 17:00:22
发货-17020901,3322999206208,2017-02-09 17:00:26
发货-17020901,3322999245659,2017-02-09 17:00:34
发货-17020901,3322999024576,2017-02-09 17:00:37
发货-17020901,426904926589,2017-02-09 19:20:23
发货-17020901,3322934255693,2017-02-09 19:20:26
发货-17020901,3322934218381,2017-02-09 19:20:30
