扫描单,条码,时间
发货-17021301,427418462710,2017-02-13 16:00:17
发货-17021301,427418680796,2017-02-13 16:00:20
发货-17021301,427418606103,2017-02-13 16:00:24
发货-17021301,3323217454739,2017-02-13 16:00:27
发货-17021301,3323217492784,2017-02-13 16:00:29
发货-17021301,3323217302698,2017-02-13 16:00:32
发货-17021301,3323217263205,2017-02-13 16:00:38
发货-17021301,3323217416896,2017-02-13 16:00:40
发货-17021301,3323217376811,2017-02-13 16:00:43
发货-17021301,3323217376823,2017-02-13 16:00:45
发货-17021301,3323216711622,2017-02-13 16:00:47
发货-17021301,3323216388780,2017-02-13 16:00:51
发货-17021301,3323216641465,2017-02-13 16:00:54
发货-17021301,3323216308303,2017-02-13 16:00:57
发货-17021301,3323216388821,2017-02-13 16:00:59
发货-17021301,3323216642082,2017-02-13 16:01:02
发货-17021301,3323216642215,2017-02-13 16:01:04
发货-17021301,3323216389425,2017-02-13 16:01:06
发货-17021301,3323216389498,2017-02-13 16:01:09
发货-17021301,3323216642677,2017-02-13 16:01:11
发货-17021301,3323216750283,2017-02-13 16:01:14
发货-17021301,3323216503733,2017-02-13 16:01:16
发货-17021301,3323216713001,2017-02-13 16:01:18
发货-17021301,3323216465415,2017-02-13 16:01:25
发货-17021301,3323216643233,2017-02-13 16:01:28
发货-17021301,3323216504179,2017-02-13 16:01:30
发货-17021301,3323216465902,2017-02-13 16:01:33
发货-17021301,3323216643749,2017-02-13 16:01:35
发货-17021301,3323216605115,2017-02-13 16:01:38
发货-17021301,3323216679939,2017-02-13 16:01:40
发货-17021301,3323216545568,2017-02-13 16:01:43
发货-17021301,3323216751245,2017-02-13 16:01:45
发货-17021301,3323216751306,2017-02-13 16:01:48
发货-17021301,3323216713920,2017-02-13 16:01:50
发货-17021301,3323216582388,2017-02-13 16:01:53
发货-17021301,3323216467032,2017-02-13 16:01:59
发货-17021301,3323216830381,2017-02-13 16:02:02
发货-17021301,3323216681155,2017-02-13 16:05:14
发货-17021301,3323216505483,2017-02-13 16:05:17
发货-17021301,3323216644433,2017-02-13 16:05:25
发货-17021301,3323216791313,2017-02-13 16:05:28
发货-17021301,3323216830990,2017-02-13 16:05:31
发货-17021301,3323216467639,2017-02-13 16:05:34
发货-17021301,3323216426329,2017-02-13 16:05:36
发货-17021301,3323216681964,2017-02-13 16:05:38
发货-17021301,3323216547129,2017-02-13 16:05:41
发货-17021301,3323216468195,2017-02-13 16:05:43
发货-17021301,3323216506907,2017-02-13 16:05:46
发货-17021301,3323216427037,2017-02-13 16:05:49
发货-17021301,3323216607157,2017-02-13 16:05:52
发货-17021301,3323216468608,2017-02-13 16:05:54
发货-17021301,3323216507785,2017-02-13 16:05:57
发货-17021301,3323216646092,2017-02-13 16:05:59
发货-17021301,3323216681757,2017-02-13 16:06:07
发货-17021301,400039685821,2017-02-13 16:10:52
发货-17021301,400039685820,2017-02-13 16:10:59
发货-17021301,400039685816,2017-02-13 16:11:09
发货-17021301,953213544307,2017-02-13 16:22:46
