扫描单,条码,时间
发货-17022001,3323614252351,2017-02-20 09:20:01
发货-17022001,3323613603210,2017-02-20 09:20:06
发货-17022001,3323613308516,2017-02-20 09:20:10
发货-17022001,3323613529971,2017-02-20 09:20:13
发货-17022001,3323613568795,2017-02-20 09:20:16
发货-17022001,3323613568856,2017-02-20 09:20:20
发货-17022001,3323613530485,2017-02-20 09:20:23
发货-17022001,3323613641101,2017-02-20 09:20:26
发货-17022001,3323613385057,2017-02-20 09:20:32
发货-17022001,3323613713391,2017-02-20 09:20:35
发货-17022001,3323613496809,2017-02-20 09:20:38
发货-17022001,3323613570364,2017-02-20 09:20:42
发货-17022001,3323613423083,2017-02-20 09:20:45
发货-17022001,3323613423137,2017-02-20 09:20:48
发货-17022001,3323613531971,2017-02-20 09:20:51
发货-17022001,3323613463776,2017-02-20 09:20:55
发货-17022001,3323613423642,2017-02-20 09:20:58
发货-17022001,3323613715821,2017-02-20 09:21:01
发货-17022001,3323613498365,2017-02-20 09:21:04
发货-17022001,3323613464526,2017-02-20 09:21:07
发货-17022001,3323613572028,2017-02-20 09:21:19
发货-17022001,3323613465271,2017-02-20 09:21:24
发货-17022001,3323613790727,2017-02-20 09:21:33
发货-17022001,3323613644166,2017-02-20 09:21:37
发货-17022001,3323613465635,2017-02-20 09:21:40
发货-17022001,3323613607073,2017-02-20 09:21:44
发货-17022001,3323613499486,2017-02-20 09:21:47
发货-17022001,3323613573325,2017-02-20 09:21:51
发货-17022001,3323613607231,2017-02-20 09:21:54
发货-17022001,3323613791897,2017-02-20 09:21:57
发货-17022001,3323613607711,2017-02-20 09:22:00
发货-17022001,3323613684290,2017-02-20 09:22:03
发货-17022001,3323613753828,2017-02-20 09:22:07
发货-17022001,3323613753919,2017-02-20 09:22:10
发货-17022001,3323613608194,2017-02-20 09:22:14
发货-17022001,3323613792799,2017-02-20 09:22:17
发货-17022001,3323613792975,2017-02-20 09:22:23
发货-17022001,3323613608716,2017-02-20 09:22:26
发货-17022001,3323613608795,2017-02-20 09:22:39
发货-17022001,3323613685324,2017-02-20 09:22:43
发货-17022001,3323613720310,2017-02-20 09:22:47
发货-17022001,3323613793677,2017-02-20 09:22:51
发货-17022001,428013413467,2017-02-20 11:40:23
发货-17022001,428013296052,2017-02-20 11:40:33
发货-17022001,428013296146,2017-02-20 11:40:39
发货-17022001,428013118314,2017-02-20 11:40:43
发货-17022001,428013372846,2017-02-20 11:40:48
发货-17022001,3323536660756,2017-02-20 11:41:10
发货-17022001,3323537088686,2017-02-20 11:41:16
发货-17022001,3323536585825,2017-02-20 11:41:21
发货-17022001,3323536889045,2017-02-20 11:41:25
发货-17022001,3323536957884,2017-02-20 11:41:28
发货-17022001,3323536995156,2017-02-20 11:41:32
发货-17022001,3323536660865,2017-02-20 11:41:35
发货-17022001,3323536848732,2017-02-20 11:41:39
发货-17022001,3323536660884,2017-02-20 11:41:42
发货-17022001,3323536889124,2017-02-20 11:41:45
发货-17022001,3323536625110,2017-02-20 11:41:48
发货-17022001,3323536625145,2017-02-20 11:41:51
发货-17022001,3323536958051,2017-02-20 11:41:54
发货-17022001,3323536661038,2017-02-20 11:41:57
发货-17022001,3323536736922,2017-02-20 11:42:00
发货-17022001,3323536810592,2017-02-20 11:42:03
发货-17022001,3323536889252,2017-02-20 11:42:07
发货-17022001,3323536586280,2017-02-20 11:42:10
发货-17022001,3323536810683,2017-02-20 11:42:13
发货-17022001,3323536586291,2017-02-20 11:42:16
发货-17022001,3323536661087,2017-02-20 11:42:19
发货-17022001,3323536995582,2017-02-20 11:42:23
发货-17022001,3323536699744,2017-02-20 11:42:26
发货-17022001,3323536995636,2017-02-20 11:42:29
发货-17022001,3323536849063,2017-02-20 11:42:35
发货-17022001,3323536699781,2017-02-20 11:42:40
发货-17022001,3323536661210,2017-02-20 11:42:43
发货-17022001,3323536625345,2017-02-20 11:42:47
发货-17022001,3323536958348,2017-02-20 11:42:51
发货-17022001,3323536958350,2017-02-20 11:42:55
发货-17022001,3323536889555,2017-02-20 11:42:58
发货-17022001,3323536586394,2017-02-20 11:43:01
发货-17022001,3323536922572,2017-02-20 11:43:05
发货-17022001,3323536699872,2017-02-20 11:43:08
发货-17022001,3323536922699,2017-02-20 11:43:12
发货-17022001,3323536889628,2017-02-20 11:43:15
发货-17022001,3323536625515,2017-02-20 11:43:20
发货-17022001,3323536699987,2017-02-20 11:43:23
发货-17022001,3323536958786,2017-02-20 11:43:29
发货-17022001,3323536661646,2017-02-20 11:43:32
发货-17022001,3323536995879,2017-02-20 11:43:35
发货-17022001,3323536995915,2017-02-20 11:43:38
发货-17022001,3323536661671,2017-02-20 11:43:41
发货-17022001,3323536995946,2017-02-20 11:43:45
发货-17022001,3323536889823,2017-02-20 11:43:48
发货-17022001,3323536889835,2017-02-20 11:43:51
发货-17022001,3323536661701,2017-02-20 11:43:54
发货-17022001,3323536811299,2017-02-20 11:43:57
发货-17022001,3323536811305,2017-02-20 11:44:00
发货-17022001,3323536661798,2017-02-20 11:44:03
发货-17022001,3323536996155,2017-02-20 11:44:06
发货-17022001,3323536996174,2017-02-20 11:44:10
发货-17022001,3323536661993,2017-02-20 11:44:13
发货-17022001,3323536959070,2017-02-20 11:44:16
发货-17022001,3323536849804,2017-02-20 11:44:19
发货-17022001,3323536738167,2017-02-20 11:44:22
发货-17022001,3323536662032,2017-02-20 11:44:25
发货-17022001,3323536738246,2017-02-20 11:44:28
发货-17022001,3323536849889,2017-02-20 11:44:34
发货-17022001,3323536849907,2017-02-20 11:44:38
发货-17022001,3323536923315,2017-02-20 11:44:42
发货-17022001,3323536662093,2017-02-20 11:44:45
发货-17022001,3323536738349,2017-02-20 11:44:50
发货-17022001,3323536996465,2017-02-20 11:45:01
发货-17022001,3323536625947,2017-02-20 11:45:05
发货-17022001,428112656955,2017-02-20 11:49:32
发货-17022001,428112847787,2017-02-20 11:49:37
发货-17022001,428112549930,2017-02-20 11:49:42
发货-17022001,428112587341,2017-02-20 11:49:47
发货-17022001,3323593409054,2017-02-20 11:50:13
发货-17022001,3323593187105,2017-02-20 11:50:17
发货-17022001,3323593652141,2017-02-20 11:50:23
发货-17022001,3323593834983,2017-02-20 11:50:26
发货-17022001,3323597902167,2017-02-20 11:50:30
发货-17022001,3323597902143,2017-02-20 11:50:34
发货-17022001,3323598043998,2017-02-20 11:50:37
发货-17022001,3323597862295,2017-02-20 11:50:41
发货-17022001,3323598154766,2017-02-20 11:50:49
发货-17022001,3323597822823,2017-02-20 11:50:53
发货-17022001,3323597930570,2017-02-20 11:50:57
发货-17022001,3323597930465,2017-02-20 11:51:01
发货-17022001,3323598116643,2017-02-20 11:51:05
发货-17022001,3323589049717,2017-02-20 11:51:40
发货-17022001,3323589194751,2017-02-20 11:51:46
发货-17022001,3323589049511,2017-02-20 11:51:49
发货-17022001,3323588785854,2017-02-20 11:51:53
发货-17022001,3323588785696,2017-02-20 11:51:55
发货-17022001,3323588820085,2017-02-20 11:51:58
发货-17022001,3323588935094,2017-02-20 11:52:01
发货-17022001,3323588785362,2017-02-20 11:52:03
发货-17022001,3323588934556,2017-02-20 11:52:06
发货-17022001,3323589121194,2017-02-20 11:52:09
发货-17022001,3323588819655,2017-02-20 11:52:12
发货-17022001,3323589009935,2017-02-20 11:52:14
发货-17022001,3323589009905,2017-02-20 11:52:17
发货-17022001,3323588895689,2017-02-20 11:52:20
发货-17022001,3323588933939,2017-02-20 11:52:23
发货-17022001,3323588933769,2017-02-20 11:52:25
发货-17022001,3323589153957,2017-02-20 11:52:28
发货-17022001,3323588858304,2017-02-20 11:52:31
发货-17022001,3323588894829,2017-02-20 11:52:34
发货-17022001,3323588933526,2017-02-20 11:52:37
发货-17022001,3323589193435,2017-02-20 11:52:40
发货-17022001,3323588933411,2017-02-20 11:52:42
发货-17022001,3323589083170,2017-02-20 11:52:45
发货-17022001,3323588783879,2017-02-20 11:52:48
发货-17022001,3323589153386,2017-02-20 11:52:50
发货-17022001,3323589082758,2017-02-20 11:53:16
发货-17022001,3323588894131,2017-02-20 11:53:23
发货-17022001,3323589082461,2017-02-20 11:53:27
发货-17022001,3323588969789,2017-02-20 11:53:30
发货-17022001,3323588893812,2017-02-20 11:53:33
发货-17022001,3323588932466,2017-02-20 11:53:36
发货-17022001,3323589152976,2017-02-20 11:53:39
发货-17022001,3323588856639,2017-02-20 11:53:41
发货-17022001,3323589152733,2017-02-20 11:53:45
发货-17022001,3323589152575,2017-02-20 11:53:47
发货-17022001,3323588817565,2017-02-20 11:53:50
发货-17022001,3323588932259,2017-02-20 11:53:53
发货-17022001,3323589119175,2017-02-20 11:53:55
发货-17022001,3323588893058,2017-02-20 11:53:58
发货-17022001,3323589151971,2017-02-20 11:54:00
发货-17022001,3323588817249,2017-02-20 11:54:03
发货-17022001,3323588782382,2017-02-20 11:54:05
发货-17022001,3323588816992,2017-02-20 11:54:08
